股票代码,形态,买入日期,买入价,股数,买入金额,卖出日期,卖出价,卖出原因,盈亏,收益率
000709.SZ,黑三鸦,2024-06-26,1.94,5100,9894.00,2024-07-10,1.94,持仓10天到期,0.00,0.00%
600963.SH,黑三鸦,2024-06-26,3.68,2700,9936.00,2024-07-10,3.42,止损(7.0%),-695.52,-7.00%
002531.SZ,黑三鸦,2024-07-08,8.63,1100,9493.00,2024-07-10,8.03,止损(7.0%),-664.51,-7.00%
600867.SH,黑三鸦,2024-07-08,8.29,1200,9948.00,2024-07-11,7.36,跳空止损(7.0%),-1116.00,-11.22%
688036.SH,黑三鸦,2024-07-08,73.93,100,7393.00,2024-07-11,82.00,跳空止盈(10.0%),807.00,10.92%
300274.SZ,黑三鸦,2024-07-08,60.40,100,6040.00,2024-07-16,66.44,止盈(10.0%),604.00,10.00%
002007.SZ,黑三鸦,2024-07-08,15.30,600,9180.00,2024-07-17,16.83,止盈(10.0%),918.00,10.00%
600104.SH,黑三鸦,2024-07-10,13.40,700,9380.00,2024-07-17,14.89,跳空止盈(10.0%),1043.00,11.12%
601238.SH,黑三鸦,2024-07-10,7.34,1300,9542.00,2024-07-17,8.07,止盈(10.0%),954.20,10.00%
000009.SZ,黑三鸦,2024-07-08,8.38,1100,9218.00,2024-07-22,8.23,持仓10天到期,-165.00,-1.79%
000739.SZ,黑三鸦,2024-07-08,13.35,700,9345.00,2024-07-22,14.28,持仓10天到期,651.00,6.97%
000895.SZ,黑三鸦,2024-07-08,23.39,400,9356.00,2024-07-22,24.16,持仓10天到期,308.00,3.29%
000963.SZ,黑三鸦,2024-07-08,27.46,300,8238.00,2024-07-22,29.56,持仓10天到期,630.00,7.65%
002032.SZ,黑三鸦,2024-07-08,47.79,200,9558.00,2024-07-22,49.00,持仓10天到期,242.00,2.53%
002304.SZ,黑三鸦,2024-07-08,78.51,100,7851.00,2024-07-22,82.75,持仓10天到期,424.00,5.40%
300033.SZ,黑三鸦,2024-07-08,94.80,100,9480.00,2024-07-22,99.66,持仓10天到期,486.00,5.13%
300142.SZ,黑三鸦,2024-07-08,11.33,800,9064.00,2024-07-22,11.49,持仓10天到期,128.00,1.41%
600132.SH,黑三鸦,2024-07-08,57.80,100,5780.00,2024-07-22,61.24,持仓10天到期,344.00,5.95%
600030.SH,黑三鸦,2024-07-10,17.81,500,8905.00,2024-07-22,19.99,跳空止盈(10.0%),1090.00,12.24%
002736.SZ,黑三鸦,2024-07-10,8.15,1200,9780.00,2024-07-24,8.12,持仓10天到期,-36.00,-0.37%
