股票代码,形态,买入日期,买入价,股数,买入金额,卖出日期,卖出价,卖出原因,盈亏,收益率
600383.SH,黑三鸦,2025-05-27,3.89,2500,9725.00,2025-06-11,3.80,持仓10天到期,-225.00,-2.31%
000895.SZ,黑三鸦,2025-05-29,24.35,400,9740.00,2025-06-13,24.64,持仓10天到期,116.00,1.19%
300408.SZ,黑三鸦,2025-05-29,32.00,300,9600.00,2025-06-13,31.95,持仓10天到期,-15.00,-0.16%
600208.SH,黑三鸦,2025-05-30,2.57,3800,9766.00,2025-06-16,2.66,持仓10天到期,342.00,3.50%
603833.SH,黑三鸦,2025-06-12,57.95,100,5795.00,2025-06-26,56.07,持仓10天到期,-188.00,-3.24%
600585.SH,黑三鸦,2025-06-18,22.24,400,8896.00,2025-07-02,22.13,持仓10天到期,-44.00,-0.49%
603288.SH,黑三鸦,2025-06-18,40.75,200,8150.00,2025-07-02,38.90,持仓10天到期,-370.00,-4.54%
600845.SH,黑三鸦,2025-06-24,22.98,400,9192.00,2025-07-08,23.81,持仓10天到期,332.00,3.61%
601633.SH,黑三鸦,2025-06-24,21.08,400,8432.00,2025-07-08,21.96,持仓10天到期,352.00,4.17%
603288.SH,黑三鸦,2025-06-24,38.60,200,7720.00,2025-07-08,38.88,持仓10天到期,56.00,0.73%
600309.SH,黑三鸦,2025-06-25,53.24,100,5324.00,2025-07-09,54.44,持仓10天到期,120.00,2.25%
601728.SH,黑三鸦,2025-07-30,7.39,1300,9607.00,2025-08-13,7.37,持仓10天到期,-26.00,-0.27%
000738.SZ,黑三鸦,2025-09-08,19.07,500,9535.00,2025-09-19,19.09,回测结束清仓,10.00,0.10%
600862.SH,黑三鸦,2025-09-08,23.56,400,9424.00,2025-09-19,23.17,回测结束清仓,-156.00,-1.66%
600674.SH,黑三鸦,2025-09-18,14.36,600,8616.00,2025-09-19,14.34,回测结束清仓,-12.00,-0.14%
600886.SH,黑三鸦,2025-09-18,13.52,700,9464.00,2025-09-19,13.28,回测结束清仓,-168.00,-1.78%
